Model,TechNode,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Operations,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,DRAM_to_Xbar,Xbar_to_ADC,OutputStationary,PE_to_Output,Weight_to_PE,ADC_to_GB,PE_to_Register,Register_to_PE
densenet40,45,256,2,RS,QConv2d_123459412295552,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,0,0,0,196608,786432
densenet40,45,256,2,RS,QConv2d_123459412558336,1.3e-05,0.0,786432,1577472,786432,788736,525824,157747,0,0,0,0,0,0,786432,1572864
densenet40,45,256,2,RS,QConv2d_123459412558528,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,0,0,0,196608,786432
densenet40,45,256,2,RS,QConv2d_123459412559104,1.3e-05,0.0,786432,1774656,786432,887328,591552,177465,0,0,0,0,0,0,786432,1769472
densenet40,45,256,2,RS,QConv2d_123459412559296,7e-06,0.0,196608,791616,196608,395808,263872,79161,0,0,0,0,0,0,196608,786432
densenet40,45,256,2,RS,QConv2d_123459412560160,1.5e-05,1e-06,983040,1973280,983040,986640,657760,197328,0,0,0,0,0,0,983040,1966080
densenet40,45,256,2,RS,QConv2d_123459412560688,6e-06,0.0,196608,248640,196608,124320,82880,24864,0,0,0,0,0,0,196608,245760
densenet40,45,256,2,RS,QConv2d_123459412560880,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,0,0,0,49152,196608
densenet40,45,256,2,RS,QConv2d_123459412561456,7e-06,0.0,196608,298368,196608,149184,99456,29836,0,0,0,0,0,0,196608,294912
densenet40,45,256,2,RS,QConv2d_123459412561648,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,0,0,0,49152,196608
densenet40,45,256,2,RS,QConv2d_123459412562224,7e-06,0.0,196608,348096,196608,174048,116032,34809,0,0,0,0,0,0,196608,344064
densenet40,45,256,2,RS,QConv2d_123459412562416,5e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,0,0,0,49152,196608
densenet40,45,256,2,RS,QConv2d_123459412562992,6e-06,0.0,196608,397824,196608,198912,132608,39782,0,0,0,0,0,0,196608,393216
densenet40,45,256,2,RS,QConv2d_123459412563184,7e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,0,0,0,49152,196608
densenet40,45,256,2,RS,QConv2d_123459412563712,7e-06,0.0,196608,447552,196608,223776,149184,44755,0,0,0,0,0,0,196608,442368
densenet40,45,256,2,RS,QConv2d_123459412563904,4e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,0,0,0,49152,196608
densenet40,45,256,2,RS,QConv2d_123459412564480,7e-06,0.0,196608,497280,196608,248640,165760,49728,0,0,0,0,0,0,196608,491520
densenet40,45,256,2,RS,QConv2d_123459412564672,4e-06,0.0,49152,201792,49152,100896,67264,20179,0,0,0,0,0,0,49152,196608
densenet40,45,256,2,RS,QLinear_123459412565488,7e-06,0.0,640,9768,640,4884,3256,976,0,0,0,0,0,0,640,8448
densenet40,7,128,1,WS,QConv2d_130791091331984,3.4e-05,1e-06,1572864,197256,1572864,98628,65752,19725,0,0,0,1572864,196608,0,0,0
