Model,TechNode,BatchSize,Subarray,MemCell,Dataflow,Layer,Latency,Energy,Mem_Reads,Mem_Writes,L1_Accesses,L2_Accesses,DRAM_Accesses,PE_to_PE,GB_to_PE,DRAM_to_GB
resnet18,7,64,128,2,IMC,QConv2d_125844560893072,1.4e-05,7e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,7,64,128,2,IMC,QConv2d_125844560892736,1.1e-05,6e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,128,2,IMC,QConv2d_125844560893744,1.3e-05,7e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,7,64,128,2,IMC,QConv2d_125844560892352,1.2e-05,6e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,128,2,IMC,QConv2d_125844560892208,1.1e-05,6e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,128,2,IMC,QConv2d_125844560894608,1.2e-05,6e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,7,64,128,2,IMC,QConv2d_125844560894752,1.3e-05,7e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,128,2,IMC,QConv2d_125844560892064,1e-05,5e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,7,64,128,2,IMC,QConv2d_125844560894944,1e-05,5e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,128,2,IMC,QConv2d_125844560895088,1.2e-05,6e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,128,2,IMC,QConv2d_125844560895568,9e-06,5e-06,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,7,64,128,2,IMC,QConv2d_125844560895712,1.5e-05,8e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,128,2,IMC,QConv2d_125844560895184,1e-05,5e-06,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,7,64,128,2,IMC,QConv2d_125844560895904,1e-05,5e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,128,2,IMC,QConv2d_125844560896048,1e-05,5e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,128,2,IMC,QLinear_125844560896288,8e-06,4e-06,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,7,64,64,1,OS,QConv2d_127194870995552,2e-06,1e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,7,64,64,1,OS,QConv2d_127194872994880,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,64,1,OS,QConv2d_127194870657488,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,64,1,OS,QConv2d_127194870994592,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,64,1,OS,QConv2d_127194870994112,2e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,7,64,64,1,OS,QConv2d_127194870993344,2e-06,1e-06,12918784,6422528,6459392,4306261,1291878,1605632,3211264,1070421
resnet18,7,64,64,1,OS,QConv2d_127194870993296,2e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,64,1,OS,QConv2d_127194870994208,1e-06,1e-06,12853248,6422528,6426624,4284416,1285324,1605632,3211264,1070421
resnet18,7,64,64,1,OS,QConv2d_127194870992960,2e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,64,1,OS,QConv2d_127194870992528,2e-06,1e-06,6569984,6422528,3284992,2189994,656998,1605632,3211264,1070421
resnet18,7,64,64,1,OS,QConv2d_127194870996176,2e-06,1e-06,6717440,3211264,3358720,2239146,671744,802816,1605632,535210
resnet18,7,64,64,1,OS,QConv2d_127194870996320,2e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,64,1,OS,QConv2d_127194870995792,2e-06,1e-06,6455296,3211264,3227648,2151765,645529,802816,1605632,535210
resnet18,7,64,64,1,OS,QConv2d_127194870996512,1e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,64,1,OS,QConv2d_127194870996656,2e-06,1e-06,3801088,3211264,1900544,1267029,380108,802816,1605632,535210
resnet18,7,64,64,1,OS,QConv2d_127194870997136,1e-06,1e-06,4390912,1605632,2195456,1463637,439091,401408,802816,267605
resnet18,7,64,64,1,OS,QConv2d_127194870997280,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,64,1,OS,QConv2d_127194870996752,1e-06,0.0,3342336,1605632,1671168,1114112,334233,401408,802816,267605
resnet18,7,64,64,1,OS,QConv2d_127194870997472,2e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,64,1,OS,QConv2d_127194870997616,1e-06,1e-06,3964928,1605632,1982464,1321642,396492,401408,802816,267605
resnet18,7,64,64,1,OS,QLinear_127194870997904,1e-06,1e-06,544768,64000,272384,181589,54476,16000,32000,10666
resnet18,22,64,256,2,WS,QConv2d_128897453249968,1e-06,1e-06,9643200,51380224,4821600,3214400,964320,12845056,25690112,8563370
resnet18,22,64,256,2,WS,QConv2d_128897455231568,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,WS,QConv2d_128897455231040,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
resnet18,22,64,256,2,WS,QConv2d_128897453249296,1e-06,1e-06,12881920,12845056,6440960,4293973,1288192,3211264,6422528,2140842
